[2024-01-30 21:54:39,809] 96 werkzeug - WARNING -  * Debugger is active!
[2024-01-30 21:54:40,131] 96 werkzeug - INFO -  * Debugger PIN: 102-863-830
[2024-01-30 21:55:35,492] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 21:55:35] "GET / HTTP/1.1" 200 -
[2024-01-30 21:55:35,530] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 21:55:35] "GET /static/styles.css HTTP/1.1" 200 -
[2024-01-30 21:55:35,796] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 21:55:35] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2024-01-30 22:07:13,503] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:13] "GET / HTTP/1.1" 200 -
[2024-01-30 22:07:13,535] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:13] "GET /static/styles.css HTTP/1.1" 200 -
[2024-01-30 22:07:13,549] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:13] "[33mGET /static/static/heart.jpg HTTP/1.1[0m" 404 -
[2024-01-30 22:07:16,283] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:16] "GET / HTTP/1.1" 200 -
[2024-01-30 22:07:16,312] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:16] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[2024-01-30 22:07:17,881] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:17] "GET / HTTP/1.1" 200 -
[2024-01-30 22:07:17,912] 96 werkzeug - INFO - 127.0.0.1 - - [30/Jan/2024 22:07:17] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
